electrode_name	electrode_type	session_name	loc_x	loc_y	loc_z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
31	EEG	TMS_V1	75.468	56.505	10.654	-0.349	0.830	0.436	0.146	-0.411	0.900	0.926	0.378	0.022
27	EEG	TMS_V1	82.031	27.536	18.654	-0.119	0.677	0.726	0.202	-0.699	0.686	0.972	0.228	-0.053
27	EEG	TMS_V1	79.850	19.099	-18.346	0.104	0.390	0.915	0.065	-0.921	0.385	0.992	0.020	-0.121
26	EEG	TMS_V1	85.278	1.286	25.654	0.007	0.834	0.551	-0.015	-0.551	0.834	1.000	-0.014	0.009
23	EEG	TMS_V1	81.093	-22.327	31.654	0.023	0.279	0.960	-0.316	-0.909	0.272	0.948	-0.310	0.067
21	EEG	TMS_V1	70.227	-39.026	-5.346	0.446	0.493	0.747	-0.340	-0.678	0.651	0.828	-0.545	-0.135
20	EEG	TMS_V1	67.031	-44.768	36.654	0.387	0.564	0.729	-0.454	-0.572	0.683	0.803	-0.595	0.034
18	EEG	TMS_V1	47.426	-61.526	51.654	0.067	0.222	0.973	-0.774	-0.603	0.191	0.629	-0.766	0.132
FidNz	Nasion	TMS_V2	2.343	105.186	-13.346	-0.189	-0.438	-0.879	-0.969	-0.060	0.238	-0.157	0.897	-0.413
FidT9	LPA	TMS_V2	-76.749	10.661	-17.346	-0.027	-0.380	-0.925	-0.113	-0.918	0.381	-0.993	0.115	-0.018
FidT10	RPA	TMS_V2	65.156	-2.103	-25.346	0.972	-0.215	0.094	-0.200	-0.551	0.810	-0.123	-0.806	-0.578
Gnd	EEG	TMS_V2	8.906	106.325	35.654	-0.846	0.181	-0.501	-0.533	-0.254	0.807	0.019	0.950	0.311
3	EEG	TMS_V2	7.968	88.474	66.411	-0.944	0.235	-0.230	-0.328	-0.632	0.702	0.019	0.738	0.674
2	EEG	TMS_V2	10.781	69.724	83.268	-0.824	0.463	-0.327	-0.567	-0.660	0.493	0.012	0.592	0.806
32	EEG	TMS_V2	18.281	40.661	99.062	-0.156	0.929	-0.336	-0.966	-0.073	0.246	0.204	0.364	0.909
24	EEG	TMS_V2	19.218	15.349	107.414	-0.714	0.700	0.022	-0.668	-0.690	0.279	0.210	0.185	0.960
21	EEG	TMS_V2	21.093	-10.901	108.594	-0.142	0.989	0.050	-0.966	-0.149	0.211	0.216	-0.019	0.976
13	EEG	TMS_V2	15.468	-43.714	100.745	-0.795	0.480	0.371	-0.607	-0.628	-0.487	-0.001	-0.613	0.790
16	EEG	TMS_V2	15.468	-64.019	77.654	0.445	0.514	0.733	-0.891	0.175	0.418	0.087	-0.840	0.536
17	EEG	TMS_V2	-2.344	-72.390	58.654	-0.038	0.249	0.968	-0.999	-0.012	-0.036	0.003	-0.968	0.249
4	EEG	TMS_V2	-11.719	69.724	80.727	-0.849	0.278	-0.450	-0.494	-0.720	0.487	-0.189	0.636	0.749
7	EEG	TMS_V2	-11.719	48.161	95.404	-0.419	0.783	-0.459	-0.891	-0.453	0.039	-0.177	0.425	0.888
